Floor,SpotNumber,Available,Reserved,Handicap,VehicleType
1,11,0,0,0,
1,12,0,0,0,
1,13,0,1,0,
1,14,0,1,0,
1,15,1,0,0,
1,16,1,0,0,
1,17,1,0,0,
1,18,1,0,0,
1,19,1,0,0,
1,110,1,0,0,
1,111,1,0,0,
1,112,1,0,0,
1,113,1,0,0,
1,114,1,0,0,
1,115,1,0,0,
1,116,1,0,0,
1,117,1,0,0,
1,118,1,0,0,
1,119,1,0,0,
1,120,1,0,0,
1,121,1,0,0,
1,122,1,0,0,
1,123,1,0,0,
1,124,1,0,0,
1,125,1,0,0,
1,126,1,0,0,
1,127,1,0,0,
1,128,1,0,0,
1,129,1,0,0,
1,130,1,0,0,
1,131,1,0,0,
1,132,1,0,0,
1,133,1,0,0,
1,134,1,0,0,
1,135,1,0,0,
1,136,1,0,0,
1,137,1,0,0,
1,138,1,0,0,
1,139,1,0,0,
1,140,1,0,0,
1,141,1,0,0,
1,142,1,0,0,
1,143,1,0,0,
1,144,1,0,0,
1,145,1,0,0,
1,146,1,0,0,
1,147,1,0,0,
1,148,1,0,0,
1,149,1,0,1,
2,21,1,0,0,
2,22,1,0,0,
2,23,1,0,0,
2,24,1,0,0,
2,25,1,0,0,
2,26,1,0,0,
2,27,1,0,0,
2,28,1,0,0,
2,29,1,0,0,
2,210,1,0,0,
2,211,1,0,0,
2,212,1,0,0,
2,213,1,0,0,
2,214,1,0,0,
2,215,1,0,0,
2,216,1,0,0,
2,217,1,0,0,
2,218,1,0,0,
2,219,1,0,0,
2,220,1,0,0,
2,221,1,0,0,
2,222,1,0,0,
2,223,1,0,0,
2,224,1,0,0,
2,225,1,0,0,
2,226,1,0,0,
2,227,1,0,0,
2,228,1,0,0,
2,229,1,0,0,
2,230,1,0,0,
2,231,1,0,0,
2,232,1,0,0,
2,233,1,0,0,
2,234,1,0,0,
2,235,1,0,0,
2,236,1,0,0,
2,237,1,0,0,
2,238,1,0,0,
2,239,1,0,0,
2,240,1,0,0,
2,241,1,0,0,
2,242,1,0,0,
2,243,1,0,0,
2,244,1,0,0,
2,245,1,0,0,
2,246,1,0,0,
2,247,1,0,0,
2,248,1,0,0,
2,249,1,0,0,
2,250,1,0,0,
3,31,1,0,0,
3,32,1,0,0,
3,33,1,0,0,
3,34,1,0,0,
3,35,1,0,0,
3,36,1,0,0,
3,37,1,0,0,
3,38,1,0,0,
3,39,1,0,0,
3,310,1,0,0,
3,311,1,0,0,
3,312,0,1,0,SweetPotato
3,313,1,0,0,
3,314,1,0,0,
3,315,1,0,0,
3,316,1,0,0,
3,317,1,0,0,
3,318,1,0,0,
3,319,1,0,0,
3,320,1,0,0,
3,321,1,0,0,
3,322,1,0,0,
3,323,1,0,0,
3,324,1,0,0,
3,325,1,0,0,
3,326,1,0,0,
3,327,1,0,0,
3,328,1,0,0,
3,329,1,0,0,
3,330,1,0,0,
3,331,1,0,0,
3,332,1,0,0,
3,333,1,0,0,
3,334,1,0,0,
3,335,1,0,0,
3,336,1,0,0,
3,337,1,0,0,
3,338,1,0,0,
3,339,1,0,0,
3,340,1,0,0,
3,341,1,0,0,
3,342,1,0,0,
3,343,1,0,0,
3,344,1,0,0,
3,345,1,0,0,
3,346,1,0,0,
3,347,1,0,0,
3,348,1,0,0,
3,349,1,0,0,
3,350,1,0,0,
4,41,1,0,0,
4,42,1,0,0,
4,43,1,0,0,
4,44,1,0,0,
4,45,1,0,0,
4,46,1,0,0,
4,47,1,0,0,
4,48,1,0,0,
4,49,1,0,0,
4,410,1,0,0,
4,411,1,0,0,
4,412,1,0,0,
4,413,1,0,0,
4,414,1,0,0,
4,415,1,0,0,
4,416,1,0,0,
4,417,1,0,0,
4,418,1,0,0,
4,419,1,0,0,
4,420,1,0,0,
4,421,1,0,0,
4,422,1,0,0,
4,423,1,0,0,
4,424,1,0,0,
4,425,1,0,0,
4,426,1,0,0,
4,427,1,0,0,
4,428,1,0,0,
4,429,1,0,0,
4,430,1,0,0,
4,431,1,0,0,
4,432,1,0,0,
4,433,1,0,0,
4,434,1,0,0,
4,435,1,0,0,
4,436,1,0,0,
4,437,1,0,0,
4,438,1,0,0,
4,439,1,0,0,
4,440,1,0,0,
4,441,1,0,0,
4,442,1,0,0,
4,443,1,0,0,
4,444,1,0,0,
4,445,1,0,0,
4,446,1,0,0,
4,447,1,0,0,
4,448,1,0,0,
4,449,1,0,0,
4,450,1,0,0,
